timestamp,position_x,position_y,position_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1745691303331,-13.898648526760805,3.8687739233016183,0.0,-0.36870706,1.0654198,11.334151,-0.172264,0.020158553,0.11178834,-44.263,-32.734,-45.909
1745691303341,-13.895042992186614,3.868739030030909,0.0,-0.272939,1.0271125,11.602302,-0.10751228,0.0012217305,0.1142318,-44.049004,-31.363,-44.756
1745691303351,-13.891437457612422,3.8687041367601993,0.0,-0.20111294,0.9792285,11.688493,-0.040927973,-0.031154128,0.10445796,-44.260002,-32.314003,-44.747
1745691303361,-13.887831923038231,3.86866924348949,0.0,-0.18195933,1.0103531,11.427525,0.061086524,-0.065973446,0.09040806,-44.055,-32.100002,-45.276
1745691303371,-13.88422638846404,3.8686343502187803,0.0,-0.16519992,1.079785,10.881647,0.16615535,-0.08368854,0.08002335,-44.151,-31.677002,-46.559002
1745691303381,-13.88062085388985,3.868599456948071,0.0,-0.14844051,1.1420342,10.168175,0.24373524,-0.096516706,0.064751714,-43.434002,-30.615002,-45.708004
1745691303391,-13.877015319315658,3.8685645636773613,0.0,-0.18914193,1.2401965,9.454702,0.26633725,-0.09590584,0.0580322,-43.840004,-30.935001,-46.774002
1745691303401,-13.873409784741467,3.868529670406652,0.0,-0.14844051,1.3599066,8.971074,0.24923302,-0.07941248,0.06169739,-43.633003,-30.613,-48.261
1745691303412,-13.869443696709856,3.8684912878088715,0.0,-0.1364695,1.4173675,8.698134,0.19547687,-0.050701816,0.061086524,-43.433002,-30.823002,-47.404003
1745691303422,-13.865838162135667,3.868456394538162,0.0,0.059855044,1.5011644,8.559271,0.10751228,-0.04520403,0.06047566,-43.352,-32.723003,-45.146004
1745691303432,-13.862232627561475,3.8684215012674525,0.0,0.15322891,1.4915876,8.63828,0.02321288,-0.028710667,0.04153884,-44.06,-32.628002,-44.844
1745691303444,-13.857905986072446,3.868379629342601,0.0,-0.047884032,1.388637,9.100361,-0.047647487,-0.007330383,0.031154128,-44.862003,-32.002003,-47.101
1745691303456,-13.853579344583416,3.8683377574177498,0.0,-0.04070143,1.3359646,9.646238,-0.10140363,0.017715093,0.018936822,-45.462,-30.853,-45.750004
1745691303466,-13.849973810009224,3.86830286414704,0.0,0.02633622,1.3000516,9.998186,-0.1020145,0.031154128,0.004276057,-43.848003,-31.778002,-46.763
1745691303477,-13.846007721977616,3.8682644815492595,0.0,0.007182605,1.2378023,10.158598,-0.070249505,0.027488936,-0.01282817,-42.937,-31.663002,-45.257004
1745691303489,-13.841681080488586,3.868222609624408,0.0,-0.12689269,1.2186487,10.206482,-0.010995574,0.020158553,-0.020158553,-44.342003,-30.310001,-46.157
1745691303500,-13.837714992456975,3.8681842270266276,0.0,-0.16280572,1.2689269,9.974244,0.052534413,0.018936822,-0.010995574,-43.842003,-31.042002,-45.923
1745691303510,-13.834109457882784,3.8681493337559183,0.0,-0.16759412,1.2904748,9.67018,0.080634214,0.018325957,-6.1086525E-4,-44.357002,-31.997002,-46.452003
1745691303520,-13.830503923308594,3.8681144404852086,0.0,-0.21308395,1.3239936,9.428367,0.08124508,0.020158553,0.007330383,-42.618004,-30.180002,-47.076004
1745691303530,-13.826898388734403,3.8680795472144993,0.0,-0.23942018,1.3431472,9.275137,0.053145275,0.043982297,0.020158553,-43.119003,-29.659002,-47.626003
1745691303541,-13.822932300702792,3.8680411646167188,0.0,-0.1388637,1.3215994,9.25359,-0.005497787,0.055588737,0.034208454,-44.038002,-30.723001,-48.905003
1745691303552,-13.818966212671182,3.868002782018938,0.0,-0.1316811,1.2641385,9.346964,-0.050701816,0.056199603,0.035430185,-43.842003,-31.250002,-47.832
1745691303563,-13.815000124639571,3.867964399421158,0.0,-0.22266077,1.2234371,9.555259,-0.12034045,0.07574729,0.031154128,-45.059002,-31.059002,-45.526
1745691303573,-13.811394590065381,3.8679295061504484,0.0,-0.24660277,1.1875241,9.742006,-0.15515977,0.08124508,0.029321533,-43.837,-30.410002,-45.401
1745691303583,-13.80778905549119,3.8678946128797387,0.0,-0.320823,1.1659763,9.993398,-0.1740966,0.070249505,0.025045475,-44.951004,-30.529001,-46.486004
1745691303593,-13.804183520916999,3.8678597196090294,0.0,-0.4357447,1.1180922,10.45069,-0.14477506,0.06536258,0.03848451,-44.959003,-31.268002,-45.52
1745691303603,-13.800577986342807,3.8678248263383197,0.0,-0.4261679,1.1133038,10.776301,-0.07269296,0.07696902,0.061086524,-45.369003,-31.905,-46.370003
1745691303613,-13.796972451768616,3.8677899330676104,0.0,-0.46208093,1.2138603,10.79785,0.023823744,0.087964594,0.08307768,-44.752003,-31.052002,-47.430004
1745691303623,-13.793366917194426,3.8677550397969007,0.0,-0.62249243,1.2808979,10.618284,0.106901415,0.07696902,0.10567969,-44.15,-31.676,-47.196003
1745691303633,-13.789761382620235,3.8677201465261914,0.0,-0.6799533,1.3359646,10.326192,0.15027285,0.06963864,0.13805555,-43.13,-30.820002,-46.760002
1745691303643,-13.786155848046043,3.8676852532554817,0.0,-0.7015011,1.4030021,10.113108,0.16371189,0.08307768,0.17837265,-43.635002,-30.616001,-46.774002
1745691303655,-13.781829206557013,3.8676433813306303,0.0,-0.7062895,1.4413095,10.0269165,0.15088372,0.1001819,0.20586158,-44.845,-30.000002,-46.704002
1745691303665,-13.778223671982822,3.867608488059921,0.0,-0.81642276,1.448492,10.0029745,0.1282817,0.115453534,0.23640485,-44.446003,-30.523,-45.838
1745691303675,-13.774618137408632,3.8675735947892114,0.0,-0.8379706,1.4652514,10.0029745,0.11362094,0.12705997,0.26206118,-43.937,-30.305002,-45.83
1745691303686,-13.770652049377022,3.867535212191431,0.0,-0.7326257,1.4676456,10.081984,0.106901415,0.13133603,0.27550024,-44.347004,-30.838001,-45.938004
1745691303698,-13.766325407887992,3.8674933402665794,0.0,-0.62728083,1.4796166,10.108319,0.112399206,0.12339478,0.27916542,-45.664,-30.751001,-45.437
1745691303708,-13.7627198733138,3.86745844699587,0.0,-0.59615624,1.4939818,10.072407,0.12522738,0.13316862,0.27366763,-44.95,-30.109001,-44.793003
1745691303719,-13.758753785282192,3.8674200643980896,0.0,-0.5267244,1.5107412,10.04607,0.13622294,0.13439035,0.2669481,-44.95,-30.11,-44.581
1745691303731,-13.754427143793162,3.867378192473238,0.0,-0.50517654,1.697489,9.983821,0.172264,0.13255776,0.26083946,-44.666,-32.424,-45.498
1745691303741,-13.75082160921897,3.8673432992025285,0.0,-0.62488663,1.7836803,9.749189,0.20097467,0.12705997,0.26206118,-45.054,-30.740002,-47.123
1745691303751,-13.74721607464478,3.8673084059318192,0.0,-0.80924016,1.7597382,9.552865,0.21319197,0.115453534,0.27672195,-45.141003,-29.159002,-47.253002
1745691303761,-13.743610540070588,3.8672735126611095,0.0,-0.91219085,1.7501614,9.358934,0.17837265,0.1160644,0.30909783,-45.462,-30.853,-45.750004
1745691303771,-13.740005005496398,3.8672386193904003,0.0,-0.9552865,1.6687586,9.306262,0.09407325,0.15027285,0.34269542,-45.064003,-31.691002,-45.517002
1745691303781,-13.736399470922207,3.8672037261196905,0.0,-0.9528923,1.4389153,9.540894,0.009162978,0.18203785,0.35735616,-45.469,-31.384,-43.513
1745691303792,-13.732433382890596,3.8671653435219104,0.0,-1.043872,1.2018893,9.995792,-0.08735373,0.23151793,0.37018433,-46.074,-31.180002,-44.379
1745691303802,-13.728827848316405,3.8671304502512007,0.0,-1.0199299,0.91219085,10.694899,-0.16065755,0.26267207,0.38728857,-45.577003,-32.331,-45.307003
1745691303813,-13.724861760284794,3.86709206765342,0.0,-0.8499416,0.7565677,11.410766,-0.16920967,0.25045475,0.3903429,-45.058002,-31.162,-46.798
1745691303824,-13.720895672253185,3.8670536850556396,0.0,-0.7110779,0.6607997,11.86327,-0.11362094,0.19303341,0.376293,-44.142002,-30.623001,-46.785004
1745691303835,-13.716929584221575,3.8670153024578595,0.0,-0.7469909,0.5602432,12.050017,0.021991149,0.09040806,0.35369098,-44.836002,-28.945002,-46.506
1745691303845,-13.713324049647383,3.86698040918715,0.0,-0.78050977,0.49320555,11.774684,0.15699236,-0.009162978,0.3555236,-44.739002,-29.367,-45.967003
1745691303856,-13.709357961615773,3.8669420265893693,0.0,-0.7422025,0.50996494,11.137826,0.2773328,-0.080634214,0.35430184,-44.941,-29.473001,-47.244003
1745691303866,-13.705752427041581,3.86690713331866,0.0,-0.62728083,0.5674258,10.333375,0.35613444,-0.09773844,0.35185838,-45.651,-29.379002,-45.775
1745691303877,-13.701786339009972,3.8668687507208794,0.0,-0.557849,0.6464345,9.414001,0.3304781,-0.06841691,0.344528,-45.145,-29.477001,-46.081
1745691303888,-13.697820250978362,3.866830368123099,0.0,-0.35673606,0.5410896,9.13388,0.24801129,-0.018936822,0.33108896,-45.659,-30.432001,-46.716003
1745691303898,-13.69421471640417,3.8667954748523896,0.0,-0.36631286,0.5530606,9.227253,0.14966199,0.047647487,0.30909783,-46.566,-29.812002,-46.426003
1745691303909,-13.69024862837256,3.866757092254609,0.0,-0.34715924,0.50996494,9.55047,0.057421334,0.11178834,0.27488935,-46.766003,-29.291002,-44.633003
1745691303920,-13.686282540340951,3.8667187096568285,0.0,-0.2825158,0.40701428,9.78989,0.014660766,0.13683382,0.23457226,-45.856003,-29.697,-46.731003
1745691303930,-13.68267700576676,3.8666838163861192,0.0,-0.34237084,0.3878607,9.9790325,0.0018325958,0.14721853,0.19181168,-46.861004,-28.45,-44.010002
1745691303940,-13.679071471192568,3.8666489231154095,0.0,-0.4237737,0.38307226,10.04607,0.018936822,0.16065755,0.15882497,-46.767002,-29.396002,-44.844
1745691303950,-13.675465936618377,3.8666140298447003,0.0,-0.5315128,0.44532153,9.900024,0.052534413,0.16187929,0.13561209,-47.787003,-30.044,-43.583
1745691303961,-13.671499848586766,3.8665756472469197,0.0,-0.6823475,0.521936,9.665392,0.07941248,0.15821409,0.12950343,-46.876003,-30.240002,-45.047
1745691303972,-13.667533760555157,3.866537264649139,0.0,-0.7661445,0.60812724,9.437943,0.08552113,0.1301143,0.1337795,-46.658,-28.759,-46.337
1745691303983,-13.663567672523547,3.8664988820513586,0.0,-0.8331822,0.7015011,9.334992,0.08246681,0.10751228,0.14660765,-47.372,-29.191002,-46.028004
